id;trait;name;quest_bonus
1012;AURORA;Transcendent Artemis' Quiver;21
1013;CHAOS;Atlantis Ares' Sword;18
1014;PURIFICATION;Adamantine Ares' Spear;10
1015;CHAOS;Mercuris Ares' Spear;20
1016;AURORA;Adamantine Zeus' Thunderbolt;21
1017;AURORA;Emerald Poseidon's Trident;21
1018;CHAOS;Mercuris Hera's Staff;17
1019;AURORA;Skybound Hera's Staff;24
1020;CHAOS;Coral Hermes' Wings;20
1021;CHAOS;Emerald Artemis' Quiver;18
1022;PURIFICATION;Toxic Hades' Bident;14
1023;AURORA;Mercuris Athena's Spear;24
1024;CONJUNCTION;Agno Hades' Bident;26
1025;AURORA;Golden Ares' Sword;21
1026;AURORA;Adamantine Hades' Bident;23
1027;PURIFICATION;Adamantine The Aegis;11
1028;CONJUNCTION;Coral Hephaestus' Hammer;28
1029;PURIFICATION;Coral Demeter's Scythe;16
1030;CHAOS;Coral Poseidon's Trident;19
1031;CHAOS;Adamantine Hermes' Wings;20
1032;CHAOS;Transcendent Artemis' Quiver;17
1033;CHAOS;Adamantine Zeus' Thunderbolt;17
1034;CHAOS;Adamantine Hermes' Wings;20
1035;CHAOS;Golden Ares' Sword;17
1036;AURORA;Toxic Hephaestus' Hammer;22
1037;CHAOS;Adamantine Artemis' Bow;19
1038;CHAOS;Mythic Hermes' Wings;20
1039;AURORA;Agno Athena's Spear;25
1040;PURIFICATION;Skybound Hera's Staff;15
1041;AURORA;Mythic Poseidon's Trident;23
1042;CONJUNCTION;Adamantine Demeter's Scythe;26
1043;REFLECTION;Adamantine Hermes' Wings;32
1044;PURIFICATION;Mythic Hephaestus' Hammer;14
1045;CHAOS;Agno Hades' Bident;20
1046;AURORA;Toxic Poseidon's Trident;25
1047;PURIFICATION;Toxic Poseidon's Trident;16
1048;PURIFICATION;Coral Athena's Spear;10
1049;CHAOS;Golden Artemis' Quiver;17
1050;PURIFICATION;Emerald Zeus' Thunderbolt;13
1051;CHAOS;Atlantis Hades' Bident;19
1052;CHAOS;Adamantine The Aegis;20
1053;AURORA;Atlantis Hera's Staff;21
1054;PURIFICATION;Coral The Aegis;13
1055;PURIFICATION;Transcendent Ares' Spear;10
1056;PURIFICATION;Atlantis Hephaestus' Hammer;16
1057;PURIFICATION;Skybound Zeus' Thunderbolt;16
1058;CHAOS;Adamantine The Aegis;17
1059;PURIFICATION;Atlantis Artemis' Quiver;14
1060;REFLECTION;Amethyst Artemis' Quiver;31
1061;AURORA;Adamantine Apollo's Lyre;23
1062;CHAOS;Skybound The Aegis;19
1063;CHAOS;Skybound Hades' Bident;19
1064;CHAOS;Skybound Hera's Staff;20
1065;AURORA;Transcendent Artemis' Quiver;24
1066;CHAOS;Coral Hera's Staff;20
1067;AURORA;Amethyst Hades' Bident;21
1068;CHAOS;Golden Hephaestus' Hammer;17
1069;AURORA;Emerald Hermes' Wings;23
1070;PURIFICATION;Atlantis Poseidon's Trident;10
1071;PURIFICATION;Adamantine Apollo's Lyre;12
1072;CHAOS;Golden Ares' Sword;17
1073;AURORA;Amethyst Athena's Spear;24
1074;PURIFICATION;Mythic Hephaestus' Hammer;14
1075;PURIFICATION;Transcendent Hephaestus' Hammer;16
1076;AURORA;Adamantine Artemis' Bow;21
1077;AURORA;Transcendent Hera's Staff;21
1078;CHAOS;Adamantine Artemis' Quiver;17
1079;PURIFICATION;Skybound Poseidon's Trident;11
1080;PURIFICATION;Toxic Artemis' Quiver;13
1081;PURIFICATION;Adamantine Demeter's Scythe;15
1082;AURORA;Atlantis Athena's Spear;24
1083;PURIFICATION;Adamantine Artemis' Quiver;11
1084;AURORA;Amethyst Demeter's Scythe;24
1085;CHAOS;Skybound Demeter's Scythe;19
1086;AURORA;Transcendent The Aegis;22
1087;CHAOS;Adamantine The Aegis;19
1088;AURORA;Adamantine Hermes' Wings;21
1089;CHAOS;Mythic Artemis' Bow;18
1090;AURORA;Coral Athena's Spear;22
1091;PURIFICATION;Golden Artemis' Bow;16
1092;CHAOS;Coral Demeter's Scythe;18
1093;PURIFICATION;Agno Artemis' Quiver;11
1094;CHAOS;Adamantine Hades' Bident;18
1095;CHAOS;Amethyst Ares' Spear;20
1096;CHAOS;Emerald Hera's Staff;20
1097;CHAOS;Amethyst Poseidon's Trident;19
1098;CHAOS;Agno Athena's Spear;20
1099;CHAOS;Adamantine Apollo's Lyre;19
1100;CHAOS;Atlantis Artemis' Quiver;20
1101;PURIFICATION;Mercuris Apollo's Lyre;13
1102;AURORA;Mythic Hades' Bident;21
1103;CHAOS;Transcendent Apollo's Lyre;18
1104;PURIFICATION;Golden Ares' Sword;16
1105;CHAOS;Golden Poseidon's Trident;18
1106;CHAOS;Golden Artemis' Quiver;17
1107;CHAOS;Mercuris Hera's Staff;19
1108;CHAOS;Amethyst Ares' Spear;18
1109;PURIFICATION;Skybound Hades' Bident;16
1110;PURIFICATION;Transcendent Artemis' Bow;10
1111;AURORA;Skybound Poseidon's Trident;24
1112;PURIFICATION;Emerald Poseidon's Trident;13
1113;ASTRAL;Mercuris Hephaestus' Hammer;41
1114;CONJUNCTION;Adamantine Artemis' Quiver;29
1115;AURORA;Golden The Aegis;25
1116;AURORA;Transcendent Artemis' Bow;21
1117;AURORA;Atlantis Artemis' Quiver;22
1118;AURORA;Mythic Ares' Sword;24
1119;CONJUNCTION;Adamantine Hera's Staff;26
1120;PURIFICATION;Mercuris Artemis' Bow;16
1121;PURIFICATION;Agno Artemis' Bow;10
1122;PURIFICATION;Skybound Zeus' Thunderbolt;15
1123;CHAOS;Coral Artemis' Bow;17
1124;PURIFICATION;Amethyst Hephaestus' Hammer;14
1125;AURORA;Coral Hephaestus' Hammer;21
1126;CHAOS;Emerald Ares' Sword;17
1127;CHAOS;Mythic Zeus' Thunderbolt;19
1128;AURORA;Mercuris Demeter's Scythe;24
1129;AURORA;Adamantine Ares' Spear;21
1130;CONJUNCTION;Adamantine Hermes' Wings;30
1131;CHAOS;Amethyst Hermes' Wings;19
1132;PURIFICATION;Adamantine Artemis' Quiver;14
1133;PURIFICATION;Atlantis Ares' Sword;16
1134;CHAOS;Coral Hephaestus' Hammer;18
1135;CHAOS;Mercuris Zeus' Thunderbolt;20
1136;PURIFICATION;Toxic Poseidon's Trident;10
1137;AURORA;Mercuris Hermes' Wings;24
1138;PURIFICATION;Skybound Poseidon's Trident;12
1139;CHAOS;Golden Poseidon's Trident;17
1140;PURIFICATION;Emerald Hades' Bident;10
1141;PURIFICATION;Atlantis Artemis' Bow;10
1142;CHAOS;Amethyst Artemis' Bow;18
1143;CHAOS;Transcendent Ares' Spear;17
1144;CHAOS;Golden Athena's Spear;17
1145;AURORA;Coral Hephaestus' Hammer;25
1146;CHAOS;Golden Hera's Staff;20
1147;PURIFICATION;Atlantis Poseidon's Trident;11
1148;AURORA;Adamantine Artemis' Bow;21
1149;AURORA;Golden Athena's Spear;22
1150;CONJUNCTION;Golden Ares' Spear;30
1151;CHAOS;Coral Demeter's Scythe;20
1152;PURIFICATION;Amethyst Artemis' Bow;10
1153;AURORA;Mercuris Ares' Sword;24
1154;PURIFICATION;Atlantis Ares' Sword;14
1155;PURIFICATION;Amethyst Ares' Sword;14
1156;PURIFICATION;Emerald The Aegis;13
1157;CHAOS;Emerald Apollo's Lyre;17
1158;PURIFICATION;Amethyst Hera's Staff;14
1159;PURIFICATION;Skybound The Aegis;15
1160;CHAOS;Coral Artemis' Bow;19
1161;PURIFICATION;Skybound Artemis' Bow;11
1162;AURORA;Golden Zeus' Thunderbolt;24
1163;AURORA;Coral The Aegis;22
1164;AURORA;Adamantine Hephaestus' Hammer;24
1165;CHAOS;Atlantis Apollo's Lyre;20
1166;CHAOS;Amethyst Ares' Spear;18
1167;AURORA;Mercuris Artemis' Quiver;22
1168;CONJUNCTION;Golden Apollo's Lyre;27
1169;CHAOS;Adamantine The Aegis;18
1170;AURORA;Toxic Demeter's Scythe;23
1171;REFLECTION;Mercuris Athena's Spear;32
1172;CONJUNCTION;Toxic Zeus' Thunderbolt;28
1173;AURORA;Mercuris Athena's Spear;21
1174;CHAOS;Amethyst Hades' Bident;19
1175;CHAOS;Golden Poseidon's Trident;17
1176;AURORA;Atlantis Artemis' Bow;21
1177;AURORA;Atlantis Zeus' Thunderbolt;22
1178;AURORA;Adamantine Athena's Spear;24
1179;CONJUNCTION;Emerald Hephaestus' Hammer;28
1180;CHAOS;Atlantis Poseidon's Trident;18
1181;CONJUNCTION;Mythic Ares' Spear;26
1182;CONJUNCTION;Transcendent Artemis' Quiver;26
1183;CHAOS;Adamantine Poseidon's Trident;18
1184;CHAOS;Golden Hera's Staff;20
1185;PURIFICATION;Agno Hephaestus' Hammer;12
1186;PURIFICATION;Mythic Zeus' Thunderbolt;12
1187;PURIFICATION;Mythic Artemis' Quiver;13
1188;CONJUNCTION;Skybound Hades' Bident;27
1189;CHAOS;Transcendent Demeter's Scythe;20
1190;PURIFICATION;Coral Poseidon's Trident;14
1191;CHAOS;Adamantine Ares' Spear;18
1192;PURIFICATION;Mercuris Artemis' Quiver;13
1193;PURIFICATION;Mythic Ares' Sword;13
1194;AURORA;Atlantis Hera's Staff;22
1195;AURORA;Skybound The Aegis;24
1196;PURIFICATION;Adamantine Ares' Spear;15
1197;CHAOS;Toxic Zeus' Thunderbolt;20
1198;CHAOS;Golden Poseidon's Trident;19
1199;CHAOS;Adamantine Demeter's Scythe;19
1200;AURORA;Golden Hades' Bident;24
1201;PURIFICATION;Golden Ares' Sword;14
1202;PURIFICATION;Atlantis Hera's Staff;14
1203;AURORA;Golden Ares' Spear;21
1204;CHAOS;Transcendent Athena's Spear;17
1205;AURORA;Mythic Ares' Spear;23
1206;AURORA;Mercuris Poseidon's Trident;24
1207;CHAOS;Adamantine Hera's Staff;18
1208;AURORA;Skybound Hermes' Wings;24
1209;AURORA;Adamantine Ares' Spear;25
1210;AURORA;Atlantis The Aegis;21
1211;CHAOS;Atlantis Hephaestus' Hammer;19
1212;REFLECTION;Skybound Athena's Spear;34
1213;PURIFICATION;Emerald Hera's Staff;11
1214;CHAOS;Mythic Demeter's Scythe;19
1215;CHAOS;Transcendent Hephaestus' Hammer;18
1216;CHAOS;Adamantine Hera's Staff;18
1217;CHAOS;Adamantine Athena's Spear;17
1218;AURORA;Golden Demeter's Scythe;23
1219;PURIFICATION;Golden Artemis' Bow;16
1220;CONJUNCTION;Transcendent Ares' Sword;26
1221;PURIFICATION;Amethyst Athena's Spear;13
1222;PURIFICATION;Amethyst Artemis' Quiver;12
1223;CHAOS;Mythic Athena's Spear;20
1224;PURIFICATION;Golden Artemis' Quiver;12
1225;PURIFICATION;Golden Poseidon's Trident;15
1226;PURIFICATION;Atlantis Demeter's Scythe;16
1227;CHAOS;Amethyst Artemis' Quiver;18
1228;CHAOS;Golden Hermes' Wings;19
1229;AURORA;Adamantine Artemis' Quiver;25
1230;CHAOS;Emerald Zeus' Thunderbolt;17
1231;CHAOS;Coral Hades' Bident;17
1232;REFLECTION;Transcendent Apollo's Lyre;33
1233;AURORA;Skybound Hermes' Wings;23
1234;PURIFICATION;Mythic Hephaestus' Hammer;11
1235;CONJUNCTION;Emerald Hephaestus' Hammer;28
1236;CONJUNCTION;Atlantis Artemis' Quiver;26
1237;CHAOS;Mythic Ares' Sword;20
1238;CHAOS;Adamantine The Aegis;18
1239;CHAOS;Amethyst Apollo's Lyre;20
1240;AURORA;Golden Artemis' Quiver;21
1241;PURIFICATION;Skybound Zeus' Thunderbolt;16
1242;PURIFICATION;Skybound Hades' Bident;13
1243;PURIFICATION;Transcendent The Aegis;15
1244;AURORA;Mercuris Zeus' Thunderbolt;22
1245;PURIFICATION;Mercuris Poseidon's Trident;16
1246;AURORA;Golden Zeus' Thunderbolt;21
1247;AURORA;Golden Zeus' Thunderbolt;25
1248;CHAOS;Golden Hermes' Wings;17
1249;CHAOS;Mercuris Zeus' Thunderbolt;20
1250;PURIFICATION;Transcendent Ares' Sword;14
1251;CHAOS;Mythic Hades' Bident;20
1252;CHAOS;Coral The Aegis;18
1253;CHAOS;Transcendent Ares' Sword;20
1254;CHAOS;Toxic Ares' Spear;20
1255;PURIFICATION;Coral Ares' Sword;12
1256;PURIFICATION;Golden Ares' Sword;13
1257;CHAOS;Mercuris Ares' Spear;17
1258;AURORA;Golden Zeus' Thunderbolt;22
1259;PURIFICATION;Coral Hermes' Wings;13
1260;PURIFICATION;Mercuris Artemis' Bow;14
1261;AURORA;Golden Apollo's Lyre;24
1262;REFLECTION;Agno Hera's Staff;32
1263;CHAOS;Golden Artemis' Bow;18
1264;PURIFICATION;Skybound Poseidon's Trident;13
1265;CHAOS;Emerald Zeus' Thunderbolt;17
1266;PURIFICATION;Toxic Apollo's Lyre;12
1267;PURIFICATION;Mythic Ares' Sword;10
1268;AURORA;Golden Athena's Spear;25
1269;CHAOS;Skybound Demeter's Scythe;19
1270;CONJUNCTION;Emerald Artemis' Quiver;28
1271;AURORA;Mythic The Aegis;23
1272;CHAOS;Mercuris Hades' Bident;20
1273;PURIFICATION;Mythic Athena's Spear;14
1274;AURORA;Mythic Poseidon's Trident;24
1275;AURORA;Adamantine Apollo's Lyre;21
1276;AURORA;Transcendent Ares' Spear;22
1277;AURORA;Skybound Zeus' Thunderbolt;25
1278;AURORA;Transcendent Ares' Sword;25
1279;CONJUNCTION;Skybound Zeus' Thunderbolt;29
1280;CHAOS;Emerald Ares' Sword;18
1281;CHAOS;Transcendent Apollo's Lyre;20
1282;PURIFICATION;Emerald Zeus' Thunderbolt;15
1283;AURORA;Adamantine Apollo's Lyre;21
1284;AURORA;Skybound Athena's Spear;22
1285;AURORA;Golden Ares' Spear;25
1286;CHAOS;Atlantis Athena's Spear;17
1287;CHAOS;Coral Zeus' Thunderbolt;19
1288;PURIFICATION;Atlantis The Aegis;14
1289;CHAOS;Agno The Aegis;18
1290;PURIFICATION;Toxic Demeter's Scythe;13
1291;PURIFICATION;Toxic Athena's Spear;16
1292;AURORA;Mythic Artemis' Bow;21
1293;PURIFICATION;Toxic Hermes' Wings;12
1294;CONJUNCTION;Agno Hephaestus' Hammer;29
1295;PURIFICATION;Amethyst Zeus' Thunderbolt;14
1296;AURORA;Golden Athena's Spear;21
1297;REFLECTION;Coral Demeter's Scythe;31
1298;CHAOS;Transcendent Hera's Staff;18
1299;AURORA;Skybound The Aegis;25
1300;PURIFICATION;Emerald Athena's Spear;10
1301;PURIFICATION;Emerald Artemis' Quiver;12
1302;PURIFICATION;Coral Artemis' Quiver;15
1303;PURIFICATION;Transcendent Hermes' Wings;15
1304;CHAOS;Adamantine Athena's Spear;18
1305;CHAOS;Mercuris Athena's Spear;17
1306;PURIFICATION;Skybound Artemis' Bow;13
1307;AURORA;Mercuris Ares' Spear;22
1308;PURIFICATION;Mercuris Hermes' Wings;13
1309;CONJUNCTION;Skybound Ares' Spear;28
1310;PURIFICATION;Skybound Hera's Staff;16
1311;CONJUNCTION;Amethyst Poseidon's Trident;28
1312;CONJUNCTION;Skybound Hades' Bident;29
1313;CHAOS;Emerald The Aegis;17
1314;CONJUNCTION;Atlantis Hephaestus' Hammer;30
1315;CHAOS;Mythic Hermes' Wings;18
1316;CHAOS;Adamantine Ares' Sword;20
1317;CHAOS;Amethyst Hephaestus' Hammer;20
1318;PURIFICATION;Mythic Hephaestus' Hammer;14
1319;CONJUNCTION;Mythic Demeter's Scythe;29
1320;ASTRAL;Emerald The Aegis;39
1321;CONJUNCTION;Golden Artemis' Quiver;28
1322;CHAOS;Transcendent Athena's Spear;18
1323;PURIFICATION;Coral Artemis' Bow;10
1324;AURORA;Transcendent Apollo's Lyre;22
1325;AURORA;Toxic Apollo's Lyre;24
1326;PURIFICATION;Mercuris Hades' Bident;11
1327;CHAOS;Amethyst Demeter's Scythe;17
1328;PURIFICATION;Amethyst Demeter's Scythe;10
1329;PURIFICATION;Mercuris The Aegis;12
1330;AURORA;Emerald Hephaestus' Hammer;23
1331;AURORA;Adamantine Athena's Spear;23
1332;CHAOS;Mythic Zeus' Thunderbolt;19
1333;CHAOS;Coral Hades' Bident;18
1334;PURIFICATION;Adamantine Hephaestus' Hammer;12
1335;AURORA;Skybound Apollo's Lyre;23
1336;CHAOS;Golden Hera's Staff;17
1337;CHAOS;Agno Ares' Sword;19
1338;CHAOS;Atlantis Ares' Sword;18
1339;PURIFICATION;Mythic Demeter's Scythe;11
1340;CHAOS;Agno Demeter's Scythe;18
1341;PURIFICATION;Coral Demeter's Scythe;11
1342;AURORA;Toxic Zeus' Thunderbolt;23
1343;CHAOS;Atlantis The Aegis;18
1344;AURORA;Atlantis Apollo's Lyre;23
1345;PURIFICATION;Coral Hermes' Wings;14
1346;CHAOS;Transcendent Zeus' Thunderbolt;19
1347;PURIFICATION;Golden Artemis' Bow;15
1348;AURORA;Skybound Ares' Spear;22
1349;PURIFICATION;Mythic Hephaestus' Hammer;14
1350;CONJUNCTION;Skybound Poseidon's Trident;28
1351;PURIFICATION;Mythic Hades' Bident;13
1352;AGNO;Skybound Hades' Bident;46
1353;PURIFICATION;Mercuris The Aegis;10
1354;PURIFICATION;Amethyst Hermes' Wings;16
1355;AURORA;Mythic Artemis' Bow;25
1356;CONJUNCTION;Golden Ares' Spear;30
1357;CHAOS;Amethyst Hephaestus' Hammer;17
1358;REFLECTION;Mythic Ares' Sword;32
1359;PURIFICATION;Skybound Hera's Staff;16
1360;CONJUNCTION;Amethyst Artemis' Bow;26
1361;AURORA;Amethyst Poseidon's Trident;23
1362;CHAOS;Adamantine Demeter's Scythe;18
1363;PURIFICATION;Skybound Artemis' Bow;12
1364;AURORA;Coral Artemis' Bow;25
1365;CONJUNCTION;Transcendent Demeter's Scythe;30
1366;AURORA;Amethyst Zeus' Thunderbolt;21
1367;PURIFICATION;Mythic Ares' Spear;15
1368;PURIFICATION;Toxic Ares' Spear;11
1369;CHAOS;Toxic Apollo's Lyre;19
1370;PURIFICATION;Atlantis Artemis' Quiver;10
1371;CONJUNCTION;Coral Ares' Spear;27
1372;AURORA;Coral Artemis' Quiver;22
1373;AURORA;Skybound Hephaestus' Hammer;22
1374;PURIFICATION;Coral Ares' Sword;16
1375;PURIFICATION;Adamantine Hera's Staff;16
1376;REFLECTION;Skybound Hades' Bident;35
1377;CHAOS;Atlantis Poseidon's Trident;20
1378;CHAOS;Skybound Hermes' Wings;19
1379;PURIFICATION;Transcendent Hephaestus' Hammer;13
1380;PURIFICATION;Toxic Hephaestus' Hammer;13
1381;PURIFICATION;Emerald Demeter's Scythe;16
1382;AURORA;Adamantine Hephaestus' Hammer;24
1383;PURIFICATION;Agno Apollo's Lyre;10
1384;CHAOS;Transcendent Hermes' Wings;19
1385;CHAOS;Adamantine Hera's Staff;20
1386;PURIFICATION;Mythic Hera's Staff;12
1387;CHAOS;Adamantine Ares' Sword;17
1388;CONJUNCTION;Golden Poseidon's Trident;28
1389;AURORA;Adamantine Hermes' Wings;22
1390;PURIFICATION;Mythic Ares' Sword;15
1391;PURIFICATION;Golden Poseidon's Trident;10
1392;PURIFICATION;Skybound Apollo's Lyre;14
1393;PURIFICATION;Skybound Poseidon's Trident;15
1394;PURIFICATION;Golden The Aegis;13
1395;PURIFICATION;Skybound Poseidon's Trident;13
1396;CONJUNCTION;Mythic Demeter's Scythe;30
1397;CONJUNCTION;Amethyst Apollo's Lyre;29
1398;PURIFICATION;Emerald Apollo's Lyre;11
1399;AURORA;Mythic Ares' Sword;23
1400;PURIFICATION;Atlantis Hephaestus' Hammer;12
1401;CHAOS;Atlantis Ares' Spear;19
1402;CHAOS;Emerald Demeter's Scythe;18
1403;CHAOS;Golden Artemis' Bow;18
1404;AURORA;Mythic Demeter's Scythe;22
1405;CONJUNCTION;Adamantine Artemis' Bow;28
1406;PURIFICATION;Emerald Artemis' Bow;10
1407;CONJUNCTION;Golden Athena's Spear;30
1408;PURIFICATION;Emerald The Aegis;10
1409;CHAOS;Skybound Athena's Spear;18
1410;CHAOS;Atlantis Hephaestus' Hammer;17
1411;PURIFICATION;Amethyst Hades' Bident;12
1412;CHAOS;Amethyst Zeus' Thunderbolt;20
1413;CHAOS;Golden Apollo's Lyre;20
1414;PURIFICATION;Emerald Zeus' Thunderbolt;13
1415;AURORA;Golden Hades' Bident;23
1416;PURIFICATION;Toxic Zeus' Thunderbolt;10
1417;CHAOS;Coral Apollo's Lyre;17
1418;CHAOS;Adamantine Apollo's Lyre;19
1419;AURORA;Atlantis Hephaestus' Hammer;24
1420;PURIFICATION;Mercuris Hera's Staff;16
1421;PURIFICATION;Amethyst Apollo's Lyre;11
1422;PURIFICATION;Amethyst The Aegis;16
1423;AURORA;Atlantis Artemis' Quiver;23
1424;PURIFICATION;Coral The Aegis;13
1425;AURORA;Transcendent Ares' Spear;25
1426;AURORA;Skybound Demeter's Scythe;21
1427;AURORA;Golden Artemis' Quiver;21
1428;AURORA;Transcendent Hades' Bident;25
1429;PURIFICATION;Transcendent Demeter's Scythe;11
1430;CHAOS;Skybound Artemis' Bow;17
1431;AURORA;Mercuris Hera's Staff;24
1432;REFLECTION;Agno Hades' Bident;31
1433;CHAOS;Coral Athena's Spear;20
1434;CONJUNCTION;Mercuris Hephaestus' Hammer;27
1435;AURORA;Mythic Hermes' Wings;23
1436;AURORA;Mythic Zeus' Thunderbolt;23
1437;AURORA;Emerald Athena's Spear;22
1438;CHAOS;Atlantis Poseidon's Trident;19
1439;PURIFICATION;Skybound Artemis' Bow;16
1440;AURORA;Mythic Zeus' Thunderbolt;22
1441;CHAOS;Mythic Demeter's Scythe;17
1442;AURORA;Amethyst Demeter's Scythe;25
1443;AURORA;Skybound Ares' Spear;22
1444;AURORA;Skybound Hephaestus' Hammer;23
1445;AURORA;Emerald Hephaestus' Hammer;21
1446;AURORA;Toxic Poseidon's Trident;22
1447;AURORA;Amethyst Hera's Staff;22
1448;CONJUNCTION;Coral Athena's Spear;29
1449;AURORA;Coral Ares' Spear;23
1450;CONJUNCTION;Mythic Apollo's Lyre;29
1451;AURORA;Transcendent Demeter's Scythe;23
1452;PURIFICATION;Mercuris Zeus' Thunderbolt;11
1453;CHAOS;Skybound Hephaestus' Hammer;17
1454;CHAOS;Emerald Athena's Spear;18
1455;CONJUNCTION;Mythic Poseidon's Trident;26
1456;CHAOS;Transcendent The Aegis;18
1457;PURIFICATION;Transcendent Hermes' Wings;14
1458;CHAOS;Emerald Hera's Staff;18
1459;CHAOS;Agno Demeter's Scythe;20
1460;CHAOS;Coral Hermes' Wings;17
1461;AURORA;Mercuris Hades' Bident;21
1462;PURIFICATION;Transcendent Artemis' Bow;11
1463;CHAOS;Coral Hephaestus' Hammer;19
1464;CHAOS;Skybound The Aegis;18
1465;PURIFICATION;Emerald Apollo's Lyre;10
1466;PURIFICATION;Adamantine Artemis' Quiver;10
1467;PURIFICATION;Agno Hermes' Wings;13
1468;PURIFICATION;Coral Artemis' Bow;12
1469;PURIFICATION;Atlantis Apollo's Lyre;15
1470;CHAOS;Atlantis Hera's Staff;18
1471;CHAOS;Skybound Apollo's Lyre;19
1472;AURORA;Adamantine Hera's Staff;22
1473;CONJUNCTION;Mercuris Poseidon's Trident;27
1474;PURIFICATION;Mercuris Hermes' Wings;10
1475;PURIFICATION;Atlantis Ares' Spear;10
1476;CHAOS;Transcendent Zeus' Thunderbolt;19
1477;CHAOS;Mythic Artemis' Bow;18
1478;CHAOS;Amethyst Hephaestus' Hammer;19
1479;PURIFICATION;Adamantine Hades' Bident;13
1480;AURORA;Mythic Athena's Spear;21
1481;AURORA;Mythic Athena's Spear;24
1482;CHAOS;Skybound Ares' Sword;19
1483;CHAOS;Toxic Hermes' Wings;17
1484;PURIFICATION;Emerald Hephaestus' Hammer;11
1485;PURIFICATION;Mercuris Hades' Bident;11
1486;CHAOS;Mythic Hermes' Wings;17
1487;AURORA;Coral Hera's Staff;22
1488;CHAOS;Amethyst The Aegis;17
1489;CHAOS;Transcendent Poseidon's Trident;20
1490;AURORA;Toxic Zeus' Thunderbolt;23
1491;REFLECTION;Mercuris Hermes' Wings;31
1492;PURIFICATION;Toxic Hera's Staff;13
1493;CONJUNCTION;Amethyst Hera's Staff;26
1494;CHAOS;Golden Hermes' Wings;19
1495;AURORA;Mythic Artemis' Quiver;25
1496;CONJUNCTION;Toxic Apollo's Lyre;28
1497;CHAOS;Mythic Hermes' Wings;18
1498;CHAOS;Emerald Hera's Staff;18
1499;AURORA;Mercuris The Aegis;25
1500;AURORA;Golden Apollo's Lyre;24
1501;AURORA;Transcendent Hermes' Wings;22
1502;AURORA;Atlantis Zeus' Thunderbolt;23
